Codigo IBGE;IDADE;SEXO;COR;homic;Nome;IDH;Populacao
330015;9;0;1;0;Aperib_-216,252;81;
330015;9;0;2;0;Aperib_-216,252;6;
330015;9;0;3;0;Aperib_-216,252;18;
330015;9;1;1;0;Aperib_-216,252;57;
330015;9;1;2;0;Aperib_-216,252;4;
330015;9;1;3;0;Aperib_-216,252;18;
330015;10;0;1;0;Aperib_-216,252;20;
330015;10;0;2;0;Aperib_-216,252;2;
330015;10;0;3;0;Aperib_-216,252;2;
330015;10;1;1;0;Aperib_-216,252;8;
330015;10;1;2;0;Aperib_-216,252;0;
330015;10;1;3;0;Aperib_-216,252;2;
330020;1;0;1;0;Araruama;0,718;3187
330020;1;0;2;0;Araruama;0,718;824
330020;1;0;3;0;Araruama;0,718;3601
330020;1;1;1;0;Araruama;0,718;3360
330020;1;1;2;0;Araruama;0,718;904
330020;1;1;3;0;Araruama;0,718;3682
330020;2;0;1;0;Araruama;0,718;3741
330020;2;0;2;1;Araruama;0,718;1274
330020;2;0;3;0;Araruama;0,718;4523
330020;2;1;1;10;Araruama;0,718;3729
330020;2;1;2;37;Araruama;0,718;1378
330020;2;1;3;0;Araruama;0,718;4728
330020;3;0;1;2;Araruama;0,718;3548
330020;3;0;2;3;Araruama;0,718;1382
330020;3;0;3;0;Araruama;0,718;3889
330020;3;1;1;18;Araruama;0,718;3267
330020;3;1;2;71;Araruama;0,718;1387
330020;3;1;3;0;Araruama;0,718;3868
330020;4;0;1;1;Araruama;0,718;3724
330020;4;0;2;3;Araruama;0,718;1306
330020;4;0;3;0;Araruama;0,718;3715
330020;4;1;1;23;Araruama;0,718;3116
330020;4;1;2;37;Araruama;0,718;1248
330020;4;1;3;0;Araruama;0,718;3445
330020;5;0;1;1;Araruama;0,718;3701
330020;5;0;2;2;Araruama;0,718;1059
330020;5;0;3;1;Araruama;0,718;3234
330020;5;1;1;7;Araruama;0,718;3224
330020;5;1;2;10;Araruama;0,718;1078
330020;5;1;3;0;Araruama;0,718;2949
330020;6;0;1;1;Araruama;0,718;3273
330020;6;0;2;1;Araruama;0,718;799
330020;6;0;3;0;Araruama;0,718;2515
330020;6;1;1;4;Araruama;0,718;2760
330020;6;1;2;4;Araruama;0,718;841
330020;6;1;3;0;Araruama;0,718;2326
330020;7;0;1;0;Araruama;0,718;2427
330020;7;0;2;0;Araruama;0,718;526
330020;7;0;3;0;Araruama;0,718;1555
330020;7;1;1;2;Araruama;0,718;2038
330020;7;1;2;1;Araruama;0,718;534
330020;7;1;3;0;Araruama;0,718;1398
330020;8;0;1;0;Araruama;0,718;1503
330020;8;0;2;0;Araruama;0,718;243
330020;8;0;3;0;Araruama;0,718;879
330020;8;1;1;1;Araruama;0,718;1242
330020;8;1;2;0;Araruama;0,718;232
330020;8;1;3;0;Araruama;0,718;762
330020;9;0;1;0;Araruama;0,718;658
330020;9;0;2;0;Araruama;0,718;106
330020;9;0;3;0;Araruama;0,718;313
330020;9;1;1;0;Araruama;0,718;418
330020;9;1;2;0;Araruama;0,718;65
330020;9;1;3;0;Araruama;0,718;208
330020;10;0;1;0;Araruama;0,718;117
330020;10;0;2;0;Araruama;0,718;23
330020;10;0;3;0;Araruama;0,718;62
330020;10;1;1;0;Araruama;0,718;53
330020;10;1;2;0;Araruama;0,718;3
330020;10;1;3;0;Araruama;0,718;35
330022;1;0;1;0;Areal;0,684;386
330022;1;0;2;0;Areal;0,684;67
330022;1;0;3;0;Areal;0,684;297
330022;1;1;1;0;Areal;0,684;411
330022;1;1;2;0;Areal;0,684;94
330022;1;1;3;0;Areal;0,684;324
330022;2;0;1;0;Areal;0,684;442
330022;2;0;2;0;Areal;0,684;134
330022;2;0;3;0;Areal;0,684;379
330022;2;1;1;0;Areal;0,684;465
330022;2;1;2;0;Areal;0,684;139
330022;2;1;3;0;Areal;0,684;421
330022;3;0;1;0;Areal;0,684;458
330022;3;0;2;0;Areal;0,684;133
330022;3;0;3;0;Areal;0,684;357
330022;3;1;1;2;Areal;0,684;424
330022;3;1;2;0;Areal;0,684;135
330022;3;1;3;0;Areal;0,684;351
330022;4;0;1;0;Areal;0,684;464
330022;4;0;2;0;Areal;0,684;131
330022;4;0;3;0;Areal;0,684;287
330022;4;1;1;1;Areal;0,684;413
330022;4;1;2;0;Areal;0,684;138
330022;4;1;3;0;Areal;0,684;305
330022;5;0;1;0;Areal;0,684;429
330022;5;0;2;0;Areal;0,684;122
330022;5;0;3;0;Areal;0,684;262
330022;5;1;1;0;Areal;0,684;399
330022;5;1;2;0;Areal;0,684;110
330022;5;1;3;0;Areal;0,684;244
330022;6;0;1;0;Areal;0,684;364
330022;6;0;2;0;Areal;0,684;86
330022;6;0;3;0;Areal;0,684;207
330022;6;1;1;0;Areal;0,684;330
330022;6;1;2;0;Areal;0,684;86
330022;6;1;3;0;Areal;0,684;237
330022;7;0;1;0;Areal;0,684;242
330022;7;0;2;0;Areal;0,684;38
330022;7;0;3;0;Areal;0,684;129
330022;7;1;1;0;Areal;0,684;215
330022;7;1;2;0;Areal;0,684;42
330022;7;1;3;0;Areal;0,684;121
330022;8;0;1;0;Areal;0,684;147
330022;8;0;2;0;Areal;0,684;25
330022;8;0;3;0;Areal;0,684;60
330022;8;1;1;0;Areal;0,684;117
330022;8;1;2;0;Areal;0,684;9
330022;8;1;3;0;Areal;0,684;57
330022;9;0;1;0;Areal;0,684;64
330022;9;0;2;0;Areal;0,684;12
330022;9;0;3;0;Areal;0,684;28
330022;9;1;1;0;Areal;0,684;37
330022;9;1;2;0;Areal;0,684;10
330022;9;1;3;0;Areal;0,684;17
330022;10;0;1;0;Areal;0,684;7
330022;10;0;2;0;Areal;0,684;2
330022;10;0;3;0;Areal;0,684;1
330022;10;1;1;0;Areal;0,684;6
330022;10;1;2;0;Areal;0,684;0
330022;10;1;3;0;Areal;0,684;3
330023;1;0;1;0;Armaퟭo dos Bퟺios;0,728;1025
330023;1;0;2;0;Armaퟭo dos Bퟺios;0,728;164
330023;1;0;3;0;Armaퟭo dos Bퟺios;0,728;769
330023;1;1;1;0;Armaퟭo dos Bퟺios;0,728;1060
330023;1;1;2;0;Armaퟭo dos Bퟺios;0,728;185
330023;1;1;3;0;Armaퟭo dos Bퟺios;0,728;822
330023;2;0;1;0;Armaퟭo dos Bퟺios;0,728;1134
330023;2;0;2;1;Armaퟭo dos Bퟺios;0,728;214
330023;2;0;3;0;Armaퟭo dos Bퟺios;0,728;1014
330023;2;1;1;4;Armaퟭo dos Bퟺios;0,728;1079
330023;2;1;2;7;Armaퟭo dos Bퟺios;0,728;247
330023;2;1;3;0;Armaퟭo dos Bퟺios;0,728;1029
330023;3;0;1;0;Armaퟭo dos Bퟺios;0,728;1183
330023;3;0;2;0;Armaퟭo dos Bퟺios;0,728;274
330023;3;0;3;0;Armaퟭo dos Bퟺios;0,728;992
330023;3;1;1;4;Armaퟭo dos Bퟺios;0,728;1027
330023;3;1;2;12;Armaퟭo dos Bퟺios;0,728;273
330023;3;1;3;0;Armaퟭo dos Bퟺios;0,728;943
330023;4;0;1;0;Armaퟭo dos Bퟺios;0,728;1266
330023;4;0;2;0;Armaퟭo dos Bퟺios;0,728;281
330023;4;0;3;0;Armaퟭo dos Bퟺios;0,728;957
330023;4;1;1;3;Armaퟭo dos Bퟺios;0,728;1127
330023;4;1;2;7;Armaퟭo dos Bퟺios;0,728;291
330023;4;1;3;0;Armaퟭo dos Bퟺios;0,728;979
330023;5;0;1;0;Armaퟭo dos Bퟺios;0,728;1065
330023;5;0;2;0;Armaퟭo dos Bퟺios;0,728;186
330023;5;0;3;0;Armaퟭo dos Bퟺios;0,728;735
330023;5;1;1;2;Armaퟭo dos Bퟺios;0,728;1093
330023;5;1;2;3;Armaퟭo dos Bퟺios;0,728;249
330023;5;1;3;0;Armaퟭo dos Bퟺios;0,728;788
330023;6;0;1;0;Armaퟭo dos Bퟺios;0,728;794
330023;6;0;2;0;Armaퟭo dos Bퟺios;0,728;140
330023;6;0;3;0;Armaퟭo dos Bퟺios;0,728;441
330023;6;1;1;1;Armaퟭo dos Bퟺios;0,728;785
330023;6;1;2;5;Armaퟭo dos Bퟺios;0,728;139
330023;6;1;3;0;Armaퟭo dos Bퟺios;0,728;498
330023;7;0;1;0;Armaퟭo dos Bퟺios;0,728;431
330023;7;0;2;0;Armaퟭo dos Bퟺios;0,728;60
330023;7;0;3;0;Armaퟭo dos Bퟺios;0,728;230
330023;7;1;1;1;Armaퟭo dos Bퟺios;0,728;431
330023;7;1;2;0;Armaퟭo dos Bퟺios;0,728;71
330023;7;1;3;0;Armaퟭo dos Bퟺios;0,728;238
330023;8;0;1;0;Armaퟭo dos Bퟺios;0,728;196
330023;8;0;2;0;Armaퟭo dos Bퟺios;0,728;33
330023;8;0;3;0;Armaퟭo dos Bퟺios;0,728;96
