ANO;MES;LATITUDE;LONGITUDE
2016;12;-23,49536;-46,37620
2016; 7;-23,58750;-46,48930
2016; 9;-23,52569;-46,54910
2016; 1;-23,50424;-46,39422
2016; 7;-23,57453;-46,74831
2016;12;-23,60698;-46,55809
2016;12;-23,51429;-46,62630
2016; 7;-23,76306;-46,71446
2016;12;-23,55189;-46,44728
2016;12;-23,69885;-46,78613
2016; 1;-23,64824;-46,74061
2016; 2;-23,53667;-46,44438
2016; 9;-23,60064;-46,79533
2016; 5;-23,62914;-46,60780
2016; 6;-23,53344;-46,65636
2016;12;-23,62166;-46,47301
2016; 5;-23,51070;-46,39723
2016; 5;-23,63341;-46,63126
2016; 6;-23,55420;-46,45311
2016; 6;-23,57585;-46,77580
2016; 2;-23,60556;-46,50926
2016; 2;-23,52356;-46,47382
2016; 2;-23,58223;-46,52651
2016; 1;-23,55357;-46,40440
2016; 6;-23,67420;-46,76967
2016; 1;-23,49237;-46,63351
2016; 6;-23,54078;-46,43915
2016; 5;-23,55090;-46,45108
2016;12;-23,60558;-46,72722
2016;12;-23,63656;-46,63120
2016; 2;-23,60690;-46,44663
2016;10;-23,58794;-46,51160
2016; 1;-23,66250;-46,67581
2016; 5;-23,53231;-46,74043
2016;12;-23,54013;-46,56869
2016; 7;-23,60116;-46,51544
2016; 7;-23,64115;-46,58947
2016; 6;-23,53920;-46,65804
2016; 7;-23,54134;-46,63897
2016;12;-23,49322;-46,62982
2016; 2;-23,54747;-46,55914
2016; 2;-23,47332;-46,66089
2016; 5;-23,59594;-46,51457
2016; 2;-23,55151;-46,63543
2016; 5;-23,75956;-46,67353
2016;12;-23,49042;-46,44752
2016; 7;-23,53454;-46,46540
2016; 7;-23,55022;-46,43481
2016; 2;-23,74770;-46,69675
2016;12;-23,54788;-46,64907
2016; 2;-23,76211;-46,70196
2016; 4;-23,46215;-46,68305
2016; 7;-23,51091;-46,38367
2016; 2;-23,45644;-46,58889
2016; 7;-23,75842;-46,67615
2016; 3;-23,64667;-46,66564
2016; 2;-23,69227;-46,66139
2016; 2;-23,58288;-46,41714
2016; 1;-23,61854;-46,46311
2016; 6;-23,52550;-46,68171
2016; 6;-23,54561;-46,63728
2016; 2;-23,50350;-46,45507
2016; 1;-23,54252;-46,63532
2016; 7;-23,66716;-46,72656
2016; 1;-23,50431;-46,66315
2016; 5;-23,59999;-46,45732
2016; 1;-23,63267;-46,46213
2016; 7;-23,54718;-46,64525
2016;12;-23,56914;-46,64605
2016; 1;-23,47898;-46,62936
2016; 7;-23,49843;-46,46421
2016; 1;-23,75391;-46,67651
2016; 1;-23,65438;-46,76424
2016;12;-23,59365;-46,64068
2016; 1;-23,62859;-46,47502
2016; 6;-23,52761;-46,52081
2016; 1;-23,47185;-46,59417
2016; 7;-23,76748;-46,68148
2016;12;-23,55926;-46,45745
2016; 7;-23,57924;-46,53885
2016; 2;-23,51161;-46,66023
2016;12;-23,38234;-46,56608
2016; 6;-23,62508;-46,61812
2016; 7;-23,64250;-46,65222
2016; 7;-23,50192;-46,70022
2016; 5;-23,45143;-46,68213
2016; 1;-23,84871;-46,70120
2016;12;-23,48910;-46,71055
2016; 6;-23,65242;-46,71008
2016; 1;-23,52963;-46,49649
2016;12;-23,54246;-46,61579
2016; 5;-23,54430;-46,64431
2016; 7;-23,54315;-46,57311
2016; 5;-23,63679;-46,75079
2016;12;-23,60787;-46,48696
2016; 9;-23,49553;-46,47702
2016; 7;-23,57250;-46,41563
2016; 2;-23,54610;-46,63891
2016; 2;-23,61408;-46,47918
2016; 2;-23,50427;-46,44167
2016; 2;-23,54788;-46,64907
2016;12;-23,49346;-46,45000
2016; 4;-23,57064;-46,71631
2016; 1;-23,55166;-46,65138
2016; 6;-23,75550;-46,68741
2016; 6;-23,67334;-46,79623
2016;12;-23,64810;-46,60458
2016; 4;-23,58004;-46,61867
2016; 7;-23,65152;-46,71310
2016; 7;-23,54164;-46,48357
2016; 6;-23,69739;-46,63026
2016;12;-23,67018;-46,67684
2016; 6;-23,54366;-46,64040
2016; 2;-23,58144;-46,64937
2016; 1;-23,58114;-46,38829
2016;11;-23,53659;-46,49579
2016;12;-23,54108;-46,62978
2016; 1;-23,61248;-46,48094
2016; 1;-23,49026;-46,50428
2016; 7;-23,84086;-46,73447
2016; 1;-23,60130;-46,68780
2016; 6;-23,64298;-46,64461
2016; 5;-23,55024;-46,67890
2016; 1;-23,54017;-46,50054
2016; 5;-23,47293;-46,67670
2016; 7;-23,53627;-46,55423
2016; 1;-23,49694;-46,40307
2016; 8;-23,53509;-46,63928
2016;10;-23,62989;-46,73874
2016; 2;-23,49227;-46,60207
2016; 7;-23,50390;-46,39516
2016;12;-23,57761;-46,72430
2016; 7;-23,61286;-46,60097
2016; 5;-23,54573;-46,44892
2016;12;-23,58337;-46,53750
2016; 7;-23,55337;-46,64539
2016;12;-23,57848;-46,58691
2016;12;-23,52717;-46,66385
2016; 7;-23,62664;-46,76622
2016; 7;-23,57144;-46,50639
2016; 2;-23,60696;-46,47851
2016; 7;-23,53593;-46,63431
2016; 4;-23,58424;-46,73861
2016; 1;-23,62467;-46,61914
2016; 4;-23,50280;-46,62637
2016; 2;-23,58751;-46,76607
2016;12;-23,50177;-46,39138
2016; 2;-23,45927;-46,67122
2016;12;-23,60321;-46,49138
2016; 5;-23,52609;-46,64051
2016; 7;-23,59190;-46,49361
2016; 1;-23,73407;-46,66888
2016; 7;-23,73453;-46,79415
2016; 1;-23,63147;-46,60742
2016; 1;-23,51721;-46,59236
2016;12;-23,62150;-46,63158
2016; 2;-23,68012;-46,74703
2016; 5;-23,67339;-46,63124
2016; 4;-23,72609;-46,69915
2016;12;-23,45827;-46,65600
2016;11;-23,55335;-46,65511
2016; 2;-23,62546;-46,59000
2016;12;-23,62789;-46,43640
2016; 1;-23,60061;-46,78732
2016; 7;-23,52979;-46,52765
2016; 5;-23,62193;-46,47789
2016;11;-23,47899;-46,71063
2016;10;-23,68500;-46,64768
2016;12;-23,54907;-46,62936
2016;12;-23,59832;-46,49590
2016; 5;-23,47054;-46,65493
2016; 7;-23,59170;-46,48640
2016; 1;-23,54939;-46,64301
2016; 2;-23,51545;-46,45760
2016; 1;-23,65397;-46,77543
2016; 2;-23,64640;-46,78377
2016; 1;-23,68533;-46,64661
2016; 6;-23,46927;-46,69433
2016; 1;-23,53690;-46,54315
2016; 1;-23,45486;-46,66108
2016; 2;-23,65533;-46,67985
2016; 6;-23,57651;-46,43703
2016; 7;-23,61507;-46,65239
2016; 5;-23,76997;-46,67289
2016; 5;-23,59290;-46,74554
2016;12;-23,67570;-46,73629
2016; 5;-23,50249;-46,39738
2016; 2;-23,64490;-46,63183
2016;10;-23,63692;-46,75134
2016; 7;-23,45870;-46,69912
2016; 1;-23,63443;-46,63703
2016;12;-23,64215;-46,59856
2016;12;-23,62443;-46,61438
2016; 1;-23,71911;-46,70550
2016; 7;-23,45014;-46,69615
2016;12;-23,53158;-46,66435
2016; 4;-23,52465;-46,60204
2016; 6;-23,56587;-46,65315
2016;12;-23,58796;-46,38170
2016; 2;-23,50913;-46,44990
2016; 2;-23,45047;-46,67729
2016;12;-23,68204;-46,77587
2016; 2;-23,58446;-46,49055
2016; 7;-23,46057;-46,72085
2016; 2;-23,64188;-46,43412
2016; 1;-23,65625;-46,71855
2016;11;-23,50683;-46,50652
2016;12;-23,59907;-46,56618
2016; 1;-23,54663;-46,64301
2016;12;-23,57241;-46,63014
2016;10;-23,74810;-46,69743
2016; 9;-23,43411;-46,58743
2016; 1;-23,53764;-46,64864
2016; 7;-23,49053;-46,69448
2016; 7;-23,60656;-46,62867
2016; 5;-23,50316;-46,47174
2016;12;-23,64915;-46,78395
2016; 2;-23,73620;-46,78948
2016; 7;-23,60673;-46,60459
2016; 6;-23,48221;-46,38713
2016; 4;-23,63762;-46,44516
2016; 7;-23,54371;-46,46160
2016; 6;-23,49608;-46,39613
2016; 1;-23,49992;-46,44256
2016; 6;-23,59232;-46,40701
2016; 6;-23,50268;-46,46488
2016; 2;-23,55311;-46,64579
2016;12;-23,75285;-46,67166
2016; 5;-23,64186;-46,76560
2016;12;-23,48588;-46,38862
2016;12;-23,49522;-46,45001
2016; 7;-23,60431;-46,73349
2016; 7;-23,52851;-46,40760
2016; 7;-23,60698;-46,51269
2016; 2;-23,67317;-46,78778
2016; 6;-23,48032;-46,60420
2016; 7;-23,74334;-46,69082
2016; 9;-23,58284;-46,77503
2016; 4;-23,54495;-46,66176
2016; 6;-23,56469;-46,65460
2016; 7;-23,50008;-46,72415
2016; 3;-23,51280;-46,41966
2016; 7;-23,61864;-46,51170
2016;12;-23,55038;-46,42585
2016; 1;-23,52622;-46,54063
2016;12;-23,52040;-46,56810
2016;12;-23,49183;-46,37939
2016; 7;-23,69135;-46,70154
2016; 5;-23,55750;-46,65957
2016; 2;-23,60246;-46,61922
2016; 2;-23,61163;-46,53699
2016; 6;-23,50053;-46,43439
2016; 1;-23,57717;-46,49346
2016; 7;-23,61221;-46,59930
2016; 7;-23,50036;-46,38520
2016; 6;-23,61277;-46,51846
2016; 5;-23,51552;-46,72629
2016; 1;-23,50587;-46,46291
2016; 7;-23,56636;-46,46408
2016; 7;-23,54784;-46,63358
2016;11;-23,53780;-46,62222
2016; 6;-23,43139;-46,72049
2016; 7;-23,53154;-46,53161
2016; 2;-23,64422;-46,74863
2016; 1;-23,69151;-46,79551
2016;12;-23,70259;-46,62674
2016;12;-23,59894;-46,73799
2016;12;-23,51119;-46,43155
2016;12;-23,51674;-46,43797
2016;12;-23,77903;-46,68322
2016; 7;-23,59388;-46,54760
2016; 7;-23,74960;-46,69855
2016; 2;-23,55365;-46,67675
2016; 7;-23,51610;-46,46797
2016; 1;-23,51830;-46,62512
2016; 1;-23,49595;-46,48057
2016;12;-23,50559;-46,60449
2016; 7;-23,55509;-46,59815
2016; 7;-23,66820;-46,66754
2016; 5;-23,75775;-46,67616
2016; 5;-23,48211;-46,64743
2016; 2;-23,66378;-46,75312
2016; 6;-23,48593;-46,74968
2016; 6;-23,57269;-46,52347
2016;12;-23,76791;-46,67724
2016; 7;-23,54404;-46,63735
2016; 1;-23,53714;-46,43630
2016; 6;-23,64280;-46,73702
2016; 7;-23,61094;-46,63687
2016; 7;-23,61961;-46,61966
2016; 2;-23,67579;-46,62964
2016; 6;-23,51956;-46,57657
2016; 2;-23,55635;-46,49677
2016; 6;-23,44427;-46,71036
2016; 7;-23,52005;-46,47961
2016; 1;-23,65704;-46,75938
2016; 7;-23,51955;-46,72336
2016; 1;-23,65598;-46,74686
2016; 1;-23,72247;-46,69146
2016; 7;-23,60201;-46,60743
2016; 2;-23,60810;-46,60950
2016; 1;-23,61954;-46,64051
2016; 7;-23,47713;-46,63009
2016; 1;-23,51774;-46,70366
2016; 3;-23,57532;-46,52152
2016;12;-23,62932;-46,44402
2016; 7;-23,65567;-46,66883
2016;11;-23,63250;-46,67424
2016; 1;-23,62682;-46,70976
2016; 8;-23,50783;-46,65530
2016; 1;-23,57612;-46,54897
2016;11;-23,59095;-46,49760
2016;12;-23,54366;-46,49199
2016; 7;-23,54803;-46,67105
2016; 7;-23,66764;-46,73791
2016; 7;-23,47033;-46,59250
2016;12;-23,66617;-46,64993
2016; 6;-23,63848;-46,61154
2016; 7;-23,62404;-46,74941
2016; 1;-23,46769;-46,58415
2016; 1;-23,47330;-46,58280
2016;12;-23,71394;-46,77823
2016; 2;-23,52851;-46,66541
2016; 6;-23,60147;-46,64220
2016; 2;-23,49906;-46,44039
2016; 3;-23,55211;-46,44247
2016; 7;-23,63660;-46,76272
2016;12;-23,53025;-46,56174
2016; 7;-23,61141;-46,48509
2016;12;-23,54045;-46,57731
2016; 2;-23,59663;-46,43558
2016; 5;-23,51705;-46,40220
2016; 1;-23,60441;-46,61986
2016; 1;-23,65574;-46,76047
2016; 5;-23,68484;-46,67714
2016; 5;-23,54325;-46,64766
2016;12;-23,60984;-46,47701
2016; 2;-23,56353;-46,63450
2016;12;-23,54920;-46,52282
2016; 1;-23,57357;-46,50537
2016; 5;-23,63776;-46,78193
2016; 6;-23,69347;-46,64838
2016;11;-23,52055;-46,72081
2016; 7;-23,52280;-46,42161
2016;12;-23,67860;-46,68501
2016; 6;-23,55202;-46,63439
2016; 2;-23,54058;-46,49914
2016; 7;-23,52221;-46,41827
2016; 2;-23,73297;-46,69533
2016; 1;-23,50552;-46,58831
2016; 7;-23,54173;-46,63671
2016; 2;-23,58934;-46,53780
2016;12;-23,49925;-46,40601
2016; 7;-23,49120;-46,37822
2016; 7;-23,63410;-46,70312
2016; 2;-23,68001;-46,75279
2016; 5;-23,55863;-46,56769
2016; 2;-23,67037;-46,77287
2016;12;-23,59290;-46,41447
2016; 7;-23,57688;-46,62049
2016;12;-23,54245;-46,64766
2016;11;-23,50555;-46,70629
2016;12;-23,47129;-46,65711
2016; 8;-23,49720;-46,39957
2016; 7;-23,48229;-46,63027
2016;12;-23,56377;-46,63607
2016;12;-23,52247;-46,56978
2016; 8;-23,75624;-46,66989
2016; 1;-23,64845;-46,74961
2016;12;-23,67263;-46,74325
2016;12;-23,50101;-46,70669
2016; 4;-23,65882;-46,64377
2016; 7;-23,61874;-46,50789
