latitude,longitude,x_sp,y_sp,health
40.71190073,-73.8074705,1037625.167,198699.7903,Good
40.82086772,-73.92561605,1004837.846,238350.1588,Good
40.66148808,-73.85401805,1024751.36,180308.0833,Good
40.77364199,-73.79126412,1042064.468,221204.3217,NA
40.64094725,-73.99364808,986012.8255,172790.8077,Good
40.62374502,-74.1427479,944623.4877,166555.7985,Good
40.85747797,-73.83606976,1029597.315,251722.3296,Good
40.55388214,-74.2004597,928544.5934,141134.4376,Good
40.62996517,-73.93562532,1002118.616,168796.2409,Good
40.60951017,-74.13594209,946504.7166,161366.6671,Good
40.6112391,-74.1333166,947234.66,161995.4425,Good
40.61845405,-73.9998431,984293.559,164595.871,Good
40.68632438,-73.96866027,992941.6873,189324.4642,Good
40.62431615,-73.98788856,987612.0818,166731.8198,Good
40.83221355,-73.92583434,1004773.93,242483.8054,Good
40.81657398,-73.89456933,1013432.779,236794.6167,Good
40.68576827,-73.86977417,1020366.821,189147.1477,Good
40.70465082,-73.87265516,1019557.806,196025.4348,Good
40.84492464,-73.94228217,1000219.257,247111.5019,Fair
40.63082077,-73.98561422,988243.0392,169101.7202,Good
40.57193976,-74.13817811,945862.2782,147679.8077,Fair
40.72286016,-73.77907205,1045488.015,202711.2124,Good
40.57534404,-74.09563144,957683.6607,148904.2944,Fair
40.77082519,-73.742794,1055492.424,220213.7791,Fair
40.70960852,-73.96517962,993903.6323,197807.9283,Fair
40.74616688,-73.78795871,1043004.212,211196.471,Good
40.71764385,-73.87349846,1019317.158,200758.8453,Fair
40.5423019,-74.2139783,924777.634,136924.3797,Good
40.72694361,-73.81448762,1035668.198,204176.1593,Good
40.64446232,-74.0199384,978716.8578,174072.0079,Fair
40.79236025,-73.8102756,1036784.016,228012.0312,Good
40.69512583,-73.97331395,991650.0711,192530.6629,Good
40.82854881,-73.90598552,1010268.143,241153.8793,Fair
40.70801762,-73.76171586,1050313.597,197316.2508,Fair
40.7016992,-73.7832608,1044346.033,194998.7551,Fair
40.64592236,-73.88385547,1016480.765,174624.6793,Good
40.67145536,-73.98565037,988230.58,183906.0213,Fair
40.77788932,-73.82662998,1032265.987,222730.4017,Good
40.67930328,-73.73980418,1056419.604,186872.1047,Good
40.60083472,-74.13946566,945521.3409,158207.5193,Good
40.81330424,-73.94161327,1000412.003,235591.1571,Good
40.89116149,-73.86076454,1022746.604,263982.7313,Fair
40.62271452,-73.96985868,992617.2995,166149.5119,Good
40.62389388,-74.15057412,942451.0422,166613.6672,Good
40.53616076,-74.15371181,941523.9414,134651.8643,Good
40.71655242,-73.74259511,1055605.619,200440.7222,Fair
40.86051194,-73.9213793,1005997.523,252795.0496,NA
40.79740123,-73.95030775,998008.5771,229795.6461,Good
40.6319368,-74.13416172,947011.562,169536.5084,Good
40.54213071,-74.2043455,927454.7904,136855.6184,Poor
40.6746466,-73.94139308,1000506.755,185073.7933,Good
40.72178798,-73.90030418,1011884.699,202259.0847,Good
40.66149619,-73.72878173,1059496.94,180393.779,NA
40.82063399,-73.89947653,1012072.788,238272.2243,Fair
40.61643049,-74.09073409,959059.6452,163871.6799,Good
40.84879682,-73.83492367,1029920.314,248560.0558,Good
40.70408436,-73.80295882,1038882.348,195854.838,Good
40.66921539,-73.79530335,1041034.613,183155.9579,Good
40.90395564,-73.90292218,1011085.463,268628.4415,Good
40.71126774,-73.87902137,1017789.376,198433.6737,Fair
40.71034816,-73.75634179,1051801.177,198169.4331,Good
40.50380161,-74.2479325,915300.8479,122922.768,Good
40.67062165,-73.88727592,1015519.991,183622.0721,Fair
40.59925424,-73.98383823,988738.1216,157601.2938,Good
40.63294297,-74.02793356,976496.7701,169875.8037,Good
40.63278806,-74.14843609,943050.044,169853.039,Good
40.629274,-74.10026501,956418.9484,168553.7922,Good
40.67577827,-73.98728211,987777.7078,185480.9132,Poor
40.72380507,-73.942373129999993,1000223.119,202983.5025,Fair
40.69267792,-73.77021711,1047971.316,191721.2649,Good
40.71777744,-74.01437461,980265.2603,200782.522,Good
40.75531019,-73.90759832,1009849.953,214470.0609,Good
40.64135683,-74.01156989,981039.0701,172940.1775,Good
40.88015301,-73.88661961,1015603.245,259961.594,Good
40.67527481,-73.89384519,1013695.603,185315.072,Good
40.88115733,-73.88157567,1016997.558,260329.3544,NA
40.75981061,-73.86782853,1020865.722,216123.8336,Good
40.72423109,-73.94777686,998725.2125,203137.7736,Good
40.7209821,-73.7394984,1056459.26,202057.1215,Good
40.83368154,-73.94386649,999783.5332,243014.9382,Good
40.52344156,-74.17345904,936025.7894,130028.2213,Good
40.52378938,-74.21897763,923371.2802,130183.2889,Good
40.76870791,-73.75042591,1053380.696,219436.2698,Good
40.82844957,-73.91579872,1007552.414,241114.9624,NA
40.75850015,-73.97921503,990008.2168,215619.4507,Fair
40.53219168,-74.20584829,927028.601,133235.5817,Good
40.75698434,-73.79966477,1039751.59,215129.9733,Good
40.59751788,-74.06783254,965412.4261,156975.5749,Good
40.62650682,-74.01522887,980022.6722,167530.0725,Fair
40.66249399,-73.89892117,1012292.983,180656.9957,Good
40.83626419,-73.94057688,1000693.213,243956.4941,Good
40.87656856,-73.83565235,1029699.732,258677.9817,Good
40.8190416,-73.91022725,1009097.81,237688.8304,NA
40.74171354,-73.80925615,1037106.478,209560.4133,Good
40.53742283,-74.15882359,940103.896,135114.2019,Good
40.60236699,-73.99283498,986239.6309,158735.0153,NA
40.74869886,-73.81451935,1035642.623,212102.2487,Good
40.63119443,-74.16165461,939380.0415,169278.9289,Fair
40.61824031,-74.14507257,943974.8446,164551.3507,Good
40.56137578,-74.1179576,951474.619,143822.8801,Good
40.74755451,-73.91490185,1007829.252,211642.3684,Fair
40.61472146,-73.92130441,1006098.689,163245.8051,Good
40.61094338,-73.96064926,995175.781,161861.9887,Fair
40.75490815,-73.80290755,1038854.9,214371.5155,Good
40.75580557,-73.87599981,1018604.083,214661.3585,Good
40.57689876,-73.9988319,984574.4888,149456.2182,Good
40.70487586,-73.89517557,1013313.672,196099.1508,Fair
40.61105509,-73.95175798,997644.4322,161903.9246,Good
40.69935647,-73.81350168,1035962.87,194125.933,Fair
40.60952001,-73.93352286,1002707.852,161347.97,Good
40.87741809,-73.82352034,1033054.165,258994.0257,Fair
40.88644032,-73.91466199,1007846.416,262243.5179,NA
40.7268351,-73.84393747,1027505.705,204120.7132,Good
40.76382723,-73.96890351,992864.2059,217561.1266,Fair
40.68639731,-73.79880395,1040049.142,189413.5599,Fair
40.69570787,-73.79071913,1042283.254,192810.915,Good
40.86150409,-73.83796297,1029070.893,253188.2253,Fair
40.82139754,-73.94497883,999478.5342,238539.2313,Good
40.66452242,-73.84098927,1028364.066,181419.8705,Poor
40.82247241,-73.95270981,997338.5739,238929.5963,Poor
40.70786979,-73.83678391,1029501.325,197214.6975,Good
40.64285967,-74.09958878,956612.278,173503.2,Good
40.73416598,-73.98167948,989327.3268,206753.5803,Good
40.70774305,-73.78693707,1043321.347,197198.2024,Fair
40.89063946,-73.86142635,1022563.925,263792.2467,Good
40.70049808,-73.90536531,1010490.183,194500.9801,Good
40.79201841,-73.97335072,991629.1352,227831.7176,Fair
40.72016169,-73.78953663,1042589.753,201720.9352,Fair
40.71246886,-73.96005926,995322.7298,198850.642,NA
40.61048892,-74.12386633,949858.1387,161718.279,Good
40.63224141,-74.03416607,974766.7755,169620.8196,Good
40.67862923,-73.79117512,1042171.643,186588.3841,Fair
40.54227398,-74.20831703,926351.0787,136910.4142,Good
40.85938734,-73.90540471,1010416.746,252389.6842,Fair
40.8612149,-73.90762792,1009801.065,253054.8781,Good
40.85781529,-73.90447253,1010675.227,251817.2044,Good
40.63755175,-74.11202317,953159.0343,171573.5526,Good
40.70614341,-73.82587048,1032528.296,196591.5521,Good
40.7339911,-73.75761298,1051424.92,206782.2735,NA
40.6349709,-73.98868445,987390.6459,170613.5994,Good
40.73823634,-73.8858052,1015895.858,208256.638,Good
40.67434569,-73.85338565,1024918.974,184992.759,Good
40.75333943,-73.87460399,1018992.08,213763.4164,NA
40.61515484,-74.14756314,943281.5173,163428.3864,Good
40.67946147,-73.84439046,1027410.812,186860.8865,Fair
40.68586455,-73.79841183,1040158.337,189219.7095,Good
40.74539526,-73.92099744,1006140.976,210854.1026,Good
40.7726284,-73.92459761,1005134.858,220775.1454,Good
40.67499547,-73.88408144,1016404.039,185216.7326,Poor
40.66437669,-73.75449354,1052360.521,181422.1825,Good
40.62105451,-74.01772631,979329.0125,165543.7841,NA
40.73041165,-73.73751774,1056997.99,205494.2219,Good
40.7882366,-73.94876932,998436.4838,226456.8979,Poor
40.73051154,-73.71478645,1063297.914,205550.3127,Good
40.58176561,-74.08637296,960257.9646,151241.1608,Good
40.53164438,-74.22285674,922300.118,133047.7582,Good
40.57601891,-74.13181667,947631.8068,149163.2162,Good
40.72403183,-73.73001756,1059083.851,203176.1852,Good
40.80700076,-73.94784722,998687.7559,233293.48560000001,Poor
40.76929369,-73.89439922,1013500.629,219568.8404,Good
40.75139127,-73.86546344,1021525.638,213057.3948,Good
40.69471894,-73.93569956,1002080.69,192387.838,Good
40.76813571,-73.82392541,1033022.177,219178.3343,Good
40.53478004,-74.23949369,917678.5029,134202.355,Fair
40.61223191,-74.03152133,975498.2327,162330.557,Good
40.85683699,-73.86264309,1022246.822,251476.1543,Fair
40.56796984,-74.11208382,953109.7644,146223.1125,Fair
40.73458786,-73.98238031,989133.0667,206907.245,Good
40.61568397,-74.01233935,980824.2073,163586.8989,Good
40.60500092,-73.8195703,1034350.953,159746.1425,Good
40.55136726,-74.14004139,945332.653,140185.5773,Good
40.67700463,-73.88896874,1015047.451,185946.972,Good
40.78323751,-73.97656932,990738.7665,224632.2788,Good
40.73030331,-73.76107343,1050469.563,205436.0682,Fair
40.8526598,-73.9005552,1011760.99,249940.0687,Good
40.76590466,-73.91658954,1007355.255,218327.4745,Fair
40.68400072,-73.76478878,1049485.136,188563.9133,Poor
40.80938237,-73.85439365,1024557.588,234190.3922,Good
40.74141661,-73.9062628,1010225.376,209408.5822,Good
40.52597635,-74.18771276,932065.0279,130959.8733,Good
40.54327353,-74.19185008,930928.6365,137264.1196,NA
40.63964656,-74.10028209,956418.5337,172332.7991,Good
40.71560671,-73.88512013,1016096.518,200012.2155,Good
40.71945396,-73.95876006,995681.7071,201395.6947,Good
40.76384394,-73.99355887,986034.2907,217565.7493,Good
40.73067096,-73.71194243,1064085.951,205610.9707,Good
40.70635724,-73.91467901,1007905.616,196632.9903,Poor
40.63752462,-74.10560359,954940.7158,171561.4545,Good
40.69312542,-73.92908293,1003915.969,191808.685,Good
40.61121671,-74.00623006,982520.2229,161959.1778,Good
40.76579994,-73.78509986,1043778.816,218351.3422,Good
40.578717,-73.95231265,997496.8413,150122.2513,Good
40.74828822,-73.97655191,990746.9972,211899.0982,Good
40.74138425,-73.79434262,1041239.397,209449.7934,NA
40.72249333,-73.8504714,1025697.406,202535.7164,Good
40.6380827,-73.95585125,996502.9699,171750.1982,Good
40.79085593,-73.84501891,1027164.699,227445.0248,Good
40.78100414,-73.95305675,997250.6459,223821.203,Poor
40.72729237,-73.99004997,987007.8226,204248.936,Good
40.55793174,-74.1206454,950726.06740000006,142569.1522,Good
40.77013016,-73.78107187,1044890.653,219931.7403,Good
40.72427083,-73.76382576,1049712.669,203236.1881,Good
40.63622541,-74.08272046,961291.2638,171081.2914,Good
40.81628231,-73.85359059,1024775.693,236704.6549,Good
40.8250884,-73.9172659,1007147.531,239889.9786,Good
40.76880345,-73.77817837,1045693.341,219450.3945,Good
40.61529101,-73.94599932,999242.3781,163448.1111,Fair
40.62061656,-74.13873278,945736.2712,165414.2266,NA
40.73730944,-73.95451081,996856.2212,207901.5852,Good
40.81880424,-73.94038536,1000750.539,237595.2335,Good
40.61591719,-73.90441302,1010787.859,163686.1048,Good
40.70286469,-73.80149077,1039290.391,195411.3943,Fair
40.65632373,-73.93288837,1002870.958,178399.9497,Fair
40.72867736,-73.85880578,1023383.593,204784.911,NA
40.66723644,-73.93426423,1002486.226,182375.4673,Good
40.68667422,-73.94607971,999204.0491,189454.9689,Fair
40.7132206,-73.9104836,1009066.255,199134.6802,NA
40.68457389,-73.82138612,1033787.63,188735.6583,Good
40.82256599,-73.84790868,1026344.453,238996.7009,Good
40.72361023,-73.86411013,1021916.298,202936.4774,Good
40.68369696,-73.73174111,1058651.121,188479.587,Good
40.7612464,-73.7868243,1043305.173,216691.174,Good
40.62871881,-73.89776987,1012626.756,168352.1522,Good
40.62077158,-73.90366578,1010993.372,165454.9126,Good
40.66247167,-73.9021618,1011393.922,180647.8438,Good
40.56022135,-74.1099214,953707.0086,143399.3898,Good
40.73416161,-73.71510928,1063204.117,206879.8478,Good
40.67199876,-73.96856479,992970.0406,184105.2381,Fair
40.63561149,-74.12136131,950566.3459,170870.1166,Good
40.69351153,-73.92254623,1005728.533,191950.894,Good
40.68769854,-73.75019567,1053528.639,189922.3377,Good
40.76541349,-73.80984173,1036925.466,218194.6972,Good
40.70980629,-73.86324289,1022164.53,197907.6607,Good
40.53675353,-74.16830577,937467.7927,134875.2792,Good
40.61484073,-74.17355397,936065.3719,163327.1763,Poor
40.60066158,-73.76020871,1050838.517,158204.7509,Good
40.82014386,-73.91414361,1008013.424,238089.3362,Good
40.85687108,-73.78956629,1042461.878,251528.7073,Good
40.71556026,-73.78638439,1043467.63,200046.6157,Good
40.56670929,-74.12789186,948717.1531,145769.8814,Good
40.74807084,-73.70479224,1066046.274,211956.8622,Good
40.75657811,-73.80610491,1037967.721,214977.9553,Good
40.67995,-73.81211554,1036362.386,187056.4242,Good
40.67772691,-73.74055369,1056213.417,186297.1711,Good
40.59989942,-73.932847,1002898.196,157843.0827,Good
40.87759259,-73.84196886,1027952.252,259047.8622,Good
40.75916733,-73.81558604,1035339.036,215915.6197,Good
40.72582169,-73.7793588,1045405.814,203789.9862,Good
40.77938475,-73.97927486,989989.8415,223228.4001,Good
40.73917021,-73.88035115,1017406.831,208598.8922,Fair
40.72826955,-73.95267419,997366.9754,204608.3392,Fair
40.74318769,-73.75188153,1053003.834,210137.3147,Good
40.68386981,-73.98509867,988382.8533,188428.9903,Good
40.64154776,-73.93772817,1001531.923,173015.6681,Fair
40.74750479,-73.81348318,1035930.647,211667.8238,Good
40.73110638,-73.71108755,1064322.359,205770.3887,Good
40.6668139,-73.88421354,1016371.337,182235.9108,Fair
40.66277156,-73.84363774,1027630.446,180780.6605,Good
40.67354459,-73.81418623,1035793.002,184721.5309,Fair
40.60186255,-73.73936212,1056626.164,158658.8294,Good
40.82618329,-73.94405271,999733.7463,240283.0162,Good
40.75645153,-73.76354832,1049757.921,214960.7998,Fair
40.73043869,-73.76915715,1048228.998,205479.3834,Good
40.54498102,-74.21935943,923284.469,137904.1435,Good
40.58176442,-74.10626886,954731.4324,151246.8009,Good
